,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
hypothetical protein_48,2177,ATP synthase I chain,-,401,2247690,-,-,-,ko:K02116,-,-,-,-,"ko00000,ko00194",3.A.2.1,-,-,ATP-synt_I
Ribosomal RNA small subunit methyltransferase G,2180,Specifically methylates the N7 position of guanine in position 527 of 16S rRNA,rsmG,677,2250000,-,-,2.1.1.170,ko:K03501,-,-,-,-,"ko00000,ko01000,ko03009,ko03036",-,-,-,GidB
DNA replication and repair protein RecF,2185,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,1073,2256041,+,-,-,ko:K03629,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,"AAA_23,SMC_N"
hypothetical protein_77,2193,Domain of unknown function (DUF4124),-,545,2266638,+,-,-,-,-,-,-,-,-,-,-,-,"BiPBP_C,DUF4124"
putative protein YibN,2205,PFAM Rhodanese-like,-,425,2277435,-,-,-,-,-,-,-,-,-,-,-,-,Rhodanese
Murein hydrolase activator EnvC,2206,PFAM peptidase,-,1157,2278083,+,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M23
Ubiquinone biosynthesis accessory factor UbiJ,2210,Sterol-binding domain protein,-,638,2283055,-,-,-,ko:K03690,-,-,-,-,ko00000,-,-,-,SCP2
hypothetical protein_98,2216,"Protein of unknown function, DUF484",-,689,2287955,-,-,-,ko:K09921,-,-,-,-,ko00000,-,-,-,DUF484
hypothetical protein_635,2219,-,-,146,2290952,-,-,-,-,-,-,-,-,-,-,-,-,-
Virginiamycin B lyase,2224,"Inactivates the type B streptogramin antibiotics by linearizing the lactone ring at the ester linkage, generating a free phenylglycine carboxylate and converting the threonyl moiety into 2-amino-butenoic acid",-,548,2295399,-,-,-,ko:K18235,-,-,-,-,"ko00000,ko01000,ko01504",-,-,-,-
hypothetical protein_97,2226,"HemX, putative uroporphyrinogen-III C-methyltransferase",-,1052,2297814,+,-,2.1.1.107,ko:K02496,"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",M00121,R03194,"RC00003,RC00871","ko00000,ko00001,ko00002,ko01000",-,-,-,HemX
Protein HemY,2227,HemY domain protein,-,1262,2298863,+,-,-,ko:K02498,-,-,-,-,ko00000,-,-,-,HemY_N
hypothetical protein_594,2240,Domain of unknown function (DUF4124),-,656,2311740,+,-,-,-,-,-,-,-,-,-,-,-,DUF4124
hypothetical protein_189,2247,-,-,239,2320471,+,-,-,-,-,-,-,-,-,-,-,-,-
putative zinc protease,2253,Belongs to the peptidase M16 family,-,1403,2325667,+,-,-,ko:K07263,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"Peptidase_M16,Peptidase_M16_C"
hypothetical protein_188,2254,PFAM Peptidase M16,-,1331,2327067,+,-,-,ko:K07263,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"Peptidase_M16,Peptidase_M16_C"
Ribosomal RNA small subunit methyltransferase D,2255,Specifically methylates the guanine in position 966 of 16S rRNA in the assembled 30S particle,-,584,2328407,+,-,2.1.1.171,ko:K08316,-,-,R07234,RC00003,"ko00000,ko01000,ko03009",-,-,-,Cons_hypoth95
Thiol-disulfide oxidoreductase ResA_589,2262,alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen,-,521,2335837,+,-,-,-,-,-,-,-,-,-,-,-,"AhpC-TSA,Redoxin"
Aminotransferase PigE,2268,PFAM Aminotransferase class-III,-,1439,2341294,+,"GO:0003674,GO:0003824,GO:0005488,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009987,GO:0016740,GO:0016769,GO:0016999,GO:0017000,GO:0017144,GO:0019842,GO:0036094,GO:0043167,GO:0043169,GO:0044237,GO:0044249,GO:0048037,GO:0070279,GO:0070280,GO:0097159,GO:1901363",-,-,-,-,-,-,-,-,-,-,Aminotran_3
Catalase,2285,Catalase,-,1457,2358044,-,-,1.11.1.6,ko:K03781,"ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014",M00532,"R00009,R00602,R02670","RC00034,RC00767,RC02141,RC02755","ko00000,ko00001,ko00002,ko01000",-,-,-,"Catalase,Catalase-rel"
hypothetical protein_224,2297,Type III,-,1613,2375024,-,-,3.1.21.5,ko:K01156,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,ResIII
hypothetical protein_215,2313,CsbD-like,yjbJ,287,2390331,+,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,CsbD
Ribosomal RNA small subunit methyltransferase B,2319,Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA,-,1340,2397807,-,-,2.1.1.176,ko:K03500,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"Methyltr_RsmB-F,Methyltr_RsmF_N,NusB"
hypothetical protein_274,2328,PilZ domain,-,635,2407576,-,-,-,-,-,-,-,-,-,-,-,-,PilZ
hypothetical protein_22,2330,Domain of unknown function (DUF4139),-,1415,2409231,-,-,-,-,-,-,-,-,-,-,-,-,DUF4139
hypothetical protein_195,2331,PFAM heat shock protein DnaJ,-,719,2410732,-,-,-,-,-,-,-,-,-,-,-,-,DnaJ
hypothetical protein_21,2333,Squalene phytoene synthase,-,1046,2412181,+,-,2.5.1.21,ko:K00801,"ko00100,ko00909,ko01100,ko01110,ko01130,map00100,map00909,map01100,map01110,map01130",-,"R00702,R02872,R06223","RC00362,RC00796,RC02839","ko00000,ko00001,ko01000,ko01006",-,-,-,SQS_PSY
Squalene--hopene cyclase,2334,Squalene-hopene cyclase N-terminal domain,-,1967,2413288,+,-,"4.2.1.129,5.4.99.17",ko:K06045,"ko00909,ko01110,map00909,map01110",-,"R07322,R07323","RC01850,RC01851","ko00000,ko00001,ko01000",-,-,-,"SQHop_cyclase_C,SQHop_cyclase_N"
hypothetical protein_20,2335,other phosphorylase family 1,-,746,2415252,+,-,3.2.2.9,ko:K01243,"ko00270,ko01100,ko01230,map00270,map01100,map01230","M00034,M00609","R00194,R01401","RC00063,RC00318","ko00000,ko00001,ko00002,ko01000",-,-,-,PNP_UDP_1
4-hydroxy-3-methylbut-2-enyl diphosphate reductase,2337,Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis,ispH,920,2418503,+,-,1.17.7.4,ko:K03527,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,"R05884,R08210","RC01137,RC01487","ko00000,ko00001,ko00002,ko01000",-,-,-,LYTB
"GTP 3',8-cyclase",2338,Radical SAM domain,-,1157,2419486,+,-,-,-,-,-,-,-,-,-,-,-,"DUF3463,Radical_SAM"
hypothetical protein_273,2339,Glycosyl transferase family 21,-,1121,2420666,+,-,-,-,-,-,-,-,-,-,-,-,Glyco_tranf_2_3
hypothetical protein_272,2340,-,-,512,2421961,-,-,-,-,-,-,-,-,-,-,-,-,-
Chromosome partition protein Smc,2344,OmpA MotB,-,1319,2427595,+,-,-,ko:K02557,"ko02030,ko02040,map02030,map02040",-,-,-,"ko00000,ko00001,ko02000,ko02035",1.A.30.1,-,-,OmpA
1-deoxy-D-xylulose-5-phosphate synthase,2348,"Transketolase, pyrimidine binding domain",-,2294,2430452,-,-,-,-,-,-,-,-,-,-,-,-,"E1_dh,Transket_pyr,Transketolase_C"
hypothetical protein_271,2364,-,-,893,2440811,-,-,-,-,-,-,-,-,-,-,-,-,-
Sensor histidine kinase RegB,2365,signal transduction histidine kinase,-,1247,2441890,+,-,2.7.13.3,ko:K15011,"ko02020,map02020",M00523,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,HisKA"
Photosynthetic apparatus regulatory protein RegA,2366,PFAM response regulator receiver,-,539,2443156,+,-,-,ko:K15012,"ko02020,map02020",M00523,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"HTH_8,Response_reg"
hypothetical protein_270,2367,Pyridine nucleotide-disulphide oxidoreductase,-,1244,2443855,-,-,1.8.5.4,ko:K17218,"ko00920,map00920",-,R10152,RC03155,"ko00000,ko00001,ko01000",-,-,-,Pyr_redox_2
Hydroxyacylglutathione hydrolase,2368,Metallo-beta-lactamase superfamily,-,599,2445307,+,-,-,-,-,-,-,-,-,-,-,-,"Lactamase_B,Rhodanese"
putative sulfate transporter,2369,sulphate transporter,-,1769,2445914,+,-,-,ko:K03321,-,-,-,-,"ko00000,ko02000",2.A.53.3,-,-,"STAS,Sulfate_transp"
hypothetical protein_269,2371,-,-,551,2449788,-,-,-,-,-,-,-,-,-,-,-,-,-
Sensor histidine kinase GlrK,2372,Histidine kinase,-,1457,2450402,-,-,2.7.13.3,ko:K07711,"ko02020,ko02024,map02020,map02024",M00502,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HATPase_c,HisKA"
hypothetical protein_5,2380,signal transduction protein,-,1244,2458582,+,-,-,-,-,-,-,-,-,-,-,-,HDOD
hypothetical protein_268,2383,-,-,1307,2462139,-,-,-,-,-,-,-,-,-,-,-,-,-
Acyl carrier protein phosphodiesterase,2384,Acyl carrier protein phosphodiesterase,-,665,2463430,-,-,-,-,-,-,-,-,-,-,-,-,ACP_PD
hypothetical protein_267,2385,Thioesterase,fcbC,422,2464123,-,-,-,ko:K07107,-,-,-,-,"ko00000,ko01000",-,-,-,"4HBT,4HBT_2"
hypothetical protein_636,2388,-,-,614,2466577,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_324,2393,oxidoreductase activity,-,464,2470866,-,-,1.4.3.4,ko:K00274,"ko00260,ko00330,ko00340,ko00350,ko00360,ko00380,ko00950,ko00982,ko01100,ko01110,ko04726,ko04728,ko05030,ko05031,ko05034,map00260,map00330,map00340,map00350,map00360,map00380,map00950,map00982,map01100,map01110,map04726,map04728,map05030,map05031,map05034",M00135,"R02173,R02382,R02529,R02532,R02613,R02908,R02919,R04025,R04300,R04674,R04890,R04893,R04894,R04907,R04908,R08346,R08347,R08348,R11354","RC00062,RC00160,RC00225,RC00676,RC00807,RC00808,RC01808,RC02226,RC02713","ko00000,ko00001,ko00002,ko01000",-,-,-,Amino_oxidase
hypothetical protein_223,2411,-,-,494,2488011,+,-,-,-,-,-,-,-,-,-,-,-,-
Polyphosphate kinase,2412,Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP),ppk,2363,2488586,-,-,2.7.4.1,ko:K00937,"ko00190,ko03018,map00190,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03019",-,-,-,"PP_kinase,PP_kinase_C,PP_kinase_N"
hypothetical protein_358,2413,pfam chad,-,1520,2491159,-,-,-,-,-,-,-,-,-,-,-,-,CHAD
hypothetical protein_439,2416,iron ion binding,-,284,2494638,+,-,-,-,-,-,-,-,-,-,-,-,FA_hydroxylase
putative protein_440,2418,PFAM Phosphoglycerate mutase,-,536,2495674,+,-,-,ko:K08296,-,-,-,-,"ko00000,ko01000",-,-,-,His_Phos_1
"4,5-DOPA dioxygenase extradiol",2419,dioxygenase,ygiD,785,2496578,-,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0046566,GO:0051213,GO:0055114",-,ko:K15777,"ko00965,map00965",-,R08836,RC00387,"ko00000,ko00001,ko01000",-,-,-,LigB
Trehalase,2420,Glycoside hydrolase 15-related,-,1832,2497461,-,-,-,-,-,-,-,-,-,-,-,-,Glyco_hydro_15
hypothetical protein_441,2421,TIGRFAM outer membrane autotransporter barrel,-,1994,2499427,-,-,-,-,-,-,-,-,-,-,-,-,Autotransporter
Actin cross-linking toxin VgrG1,2423,Rhs Element Vgr Protein,vgrG1,2189,2502346,+,-,-,ko:K11904,"ko03070,map03070",M00334,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.23.1,-,-,"Gp5_C,Phage_GPD"
hypothetical protein_442,2424,-,-,476,2504563,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_443,2425,protein conserved in bacteria,-,1115,2505050,+,-,-,-,-,-,-,-,-,-,-,-,DUF2169
hypothetical protein_444,2426,synthase,-,1046,2506162,+,-,2.3.1.41,ko:K00647,"ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212","M00083,M00572","R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119","RC00039,RC02728,RC02729,RC02888","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,-
hypothetical protein_445,2429,lyase activity,-,1250,2509180,+,-,-,-,-,-,-,-,-,-,-,-,HEAT_2
hypothetical protein_446,2430,"ImpA, N-terminal, type VI secretion system",-,1037,2510565,+,-,-,ko:K11902,"ko02025,map02025",M00334,-,-,"ko00000,ko00001,ko00002,ko02044",-,-,-,ImpA_N
hypothetical protein_447,2434,"TIGRFAM Type VI secretion system, lysozyme-related",-,791,2514304,+,-,-,ko:K11897,-,M00334,-,-,"ko00000,ko00002,ko02044",-,-,-,GPW_gp25
hypothetical protein_380,2440,"TIGRFAM Type VI secretion system, FHA",-,1430,2521596,+,-,-,ko:K11913,"ko02025,ko03070,map02025,map03070",-,-,-,"ko00000,ko00001,ko02044",-,-,-,FHA
hypothetical protein_381,2445,"type VI secretion-associated protein, BMA_A0400 family",-,1508,2529765,+,-,-,ko:K11890,"ko02025,map02025",-,-,-,"ko00000,ko00001,ko02044",-,-,-,DUF2094
hypothetical protein_382,2447,Alpha/beta hydrolase family,-,893,2533049,-,-,-,-,-,-,-,-,-,-,-,-,-
putative MFS-type transporter YcaD,2449,Major facilitator Superfamily,-,614,2535925,+,-,-,-,-,-,-,-,-,-,-,-,"MFS_1,MFS_4,Sugar_tr"
hypothetical protein_383,2450,PFAM VanZ,-,389,2536687,+,-,-,-,-,-,-,-,-,-,-,-,VanZ
Efflux pump periplasmic linker BepF,2453,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,-,1103,2543983,-,-,-,ko:K03585,"ko01501,ko01503,map01501,map01503","M00646,M00647,M00699,M00718",-,-,"ko00000,ko00001,ko00002,ko01504,ko02000,ko03036","2.A.6.2,8.A.1.6",-,-,HlyD_D23
Putative serine protease HtrA,2454,Trypsin,-,1259,2545414,-,-,-,-,-,-,-,-,-,-,-,-,"PDZ_2,Trypsin_2"
hypothetical protein_91,2464,-,-,224,2561052,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_90,2465,BON domain,-,695,2561359,-,-,-,-,-,-,-,-,-,-,-,-,BON
Poly(3-hydroxyalkanoate) polymerase subunit PhaC,2466,"Poly(R)-hydroxyalkanoic acid synthase, class III, PhaC subunit",-,1052,2562761,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0009058,GO:0016234,GO:0042618,GO:0042619,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0070088,GO:0071704,GO:1901440,GO:1901441,GO:1901576",-,ko:K03821,"ko00650,map00650",-,R04254,RC00004,"ko00000,ko00001,ko01000",-,-,-,Abhydrolase_1
hypothetical protein_384,2467,Poly(R)-hydroxyalkanoic acid synthase subunit (PHA_synth_III_E),-,854,2563810,-,-,-,-,-,-,-,-,-,-,-,-,PHA_synth_III_E
Beta-barrel assembly-enhancing protease,2468,"Functions as both a chaperone and a metalloprotease. Maintains the integrity of the outer membrane by promoting either the assembly or the elimination of outer membrane proteins, depending on their folding state",-,1643,2564749,-,-,-,-,-,-,-,-,-,-,-,-,"Peptidase_M48,TPR_19"
Outer membrane protein assembly factor BamC,2474,NlpB/DapX lipoprotein,-,1058,2571527,+,-,-,ko:K07287,-,-,-,-,"ko00000,ko02000",1.B.33.1,-,-,Lipoprotein_18
"RNA 2',3'-cyclic phosphodiesterase",2504,"Hydrolyzes RNA 2',3'-cyclic phosphodiester to an RNA 2'- phosphomonoester",-,593,2604644,+,-,3.1.4.58,ko:K01975,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,LigT_PEase
Regulatory protein RecX,2506,Regulatory protein recX,recX,488,2606349,+,"GO:0003674,GO:0005488,GO:0005515,GO:0006282,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0019219,GO:0019222,GO:0019899,GO:0030234,GO:0031323,GO:0031668,GO:0033554,GO:0043086,GO:0044092,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051171,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0071496,GO:0080090,GO:0080134,GO:0080135,GO:0098772,GO:2001020",-,ko:K03565,-,-,-,-,"ko00000,ko03400",-,-,-,RecX
6-phosphogluconolactonase,2512,PFAM glucosamine galactosamine-6-phosphate isomerase,-,731,2612055,-,-,3.1.1.31,ko:K01057,"ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200","M00004,M00006,M00008",R02035,RC00537,"ko00000,ko00001,ko00002,ko01000",-,-,-,Glucosamine_iso
Glucokinase,2513,Belongs to the bacterial glucokinase family,glk,995,2612911,-,-,2.7.1.2,ko:K00845,"ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200","M00001,M00549","R00299,R01600,R01786","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Glucokinase
"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating",2514,6-phosphogluconate dehydrogenase,-,1016,2613975,-,-,"1.1.1.343,1.1.1.44",ko:K00033,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200","M00004,M00006","R01528,R10221","RC00001,RC00539","ko00000,ko00001,ko00002,ko01000",-,-,-,"6PGD,NAD_binding_2"
hypothetical protein_122,2515,-,-,353,2615301,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_123,2516,-,-,584,2616065,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_124,2517,PFAM Phosphatidylethanolamine-binding protein,-,536,2616863,-,-,-,ko:K06910,-,-,-,-,ko00000,-,-,-,PBP
hypothetical protein_125,2518,-,-,479,2617447,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_463,2531,membrane,-,329,2627711,-,-,-,-,-,-,-,-,-,-,-,-,UPF0016
hypothetical protein_462,2532,Uncharacterized protein conserved in bacteria (DUF2236),-,839,2628362,+,-,-,-,-,-,-,-,-,-,-,-,DUF2236
hypothetical protein_180,2542,Membrane protein required for beta-lactamase induction,-,875,2637946,+,-,-,ko:K03807,-,-,-,-,ko00000,-,-,-,"AmpE,CobD_Cbib"
hypothetical protein_220,2543,Putative restriction endonuclease,-,563,2638931,+,-,-,-,-,-,-,-,-,-,-,-,Uma2
hypothetical protein_583,2544,addiction module antidote protein HigA,-,317,2639557,-,-,-,ko:K21498,-,-,-,-,"ko00000,ko02048",-,-,-,"HTH_3,HTH_31"
D-inositol-3-phosphate glycosyltransferase_179,2546,PFAM Glycosyl transferases group 1,-,1286,2640596,+,-,-,-,-,-,-,-,-,-,-,-,"Glyco_transf_4,Glycos_transf_1"
Trans-aconitate 2-methyltransferase_178,2547,Methyltransferase domain,-,737,2641894,+,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_23
D-inositol-3-phosphate glycosyltransferase,2548,PFAM Glycosyl,-,1124,2642628,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_1_4,Glyco_trans_4_4,Glyco_transf_4"
hypothetical protein_582,2551,Putative restriction endonuclease,-,581,2644769,+,-,-,-,-,-,-,-,-,-,-,-,Uma2
hypothetical protein_580,2552,ROK family,-,713,2645441,-,-,2.7.1.63,ko:K00886,"ko00010,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00520,map01100,map01110,map01120,map01130,map01200","M00001,M00549","R02187,R02189",RC00017,"ko00000,ko00001,ko00002,ko01000",-,-,-,ROK
hypothetical protein_581,2556,-,-,170,2648890,-,-,-,-,-,-,-,-,-,-,-,-,-
lipid II flippase MurJ,2569,Polysaccharide biosynthesis protein,-,1301,2656914,-,-,-,-,-,-,-,-,-,-,-,-,"Polysacc_synt,Polysacc_synt_C"
hypothetical protein_588,2573,PIN domain,-,350,2659533,-,-,-,-,-,-,-,-,-,-,-,-,PIN
hypothetical protein_194,2574,-,-,251,2659921,-,-,-,-,-,-,-,-,-,-,-,-,MazE_antitoxin
Ribonuclease VapC15,2576,Toxic component of a toxin-antitoxin (TA) module. An RNase,-,401,2661359,-,-,-,-,-,-,-,-,-,-,-,-,PIN
hypothetical protein_587,2580,Protein of unknown function (DUF2490),-,566,2662735,-,-,-,-,-,-,-,-,-,-,-,-,DUF2490
putative ABC transporter ATP-binding protein,2581,ABC transporter transmembrane region,-,1799,2663861,-,-,-,ko:K06147,-,-,-,-,"ko00000,ko02000","3.A.1.106,3.A.1.109,3.A.1.21",-,-,"ABC_membrane,ABC_tran"
hypothetical protein_364,2583,-,-,131,2667452,-,-,-,-,-,-,-,-,-,-,-,-,-
Protein YffB,2584,Belongs to the ArsC family,-,338,2668038,+,-,-,-,-,-,-,-,-,-,-,-,ArsC
hypothetical protein_365,2585,-,-,191,2668560,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_342,2606,-,-,218,2688828,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_341,2611,-,-,320,2694736,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_340,2614,PFAM ATP dependent DNA ligase,-,1136,2696081,-,-,6.5.1.1,ko:K07468,-,-,R00381,RC00005,"ko00000,ko01000",-,-,-,RNA_ligase
hypothetical protein_61,2615,Extracellular solute-binding protein,-,1478,2697419,-,-,-,ko:K02027,-,M00207,-,-,"ko00000,ko00002,ko02000",3.A.1.1,-,-,"SBP_bac_1,SBP_bac_8"
hypothetical protein_60,2616,CDP-archaeol synthase,-,446,2699169,+,-,2.7.7.67,ko:K19664,"ko00564,map00564",-,R08966,RC00002,"ko00000,ko00001,ko01000",-,-,-,CarS-like
Ribosomal RNA small subunit methyltransferase J,2618,Specifically methylates the guanosine in position 1516 of 16S rRNA,rsmJ,848,2700824,-,-,2.1.1.242,ko:K15984,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,SAM_MT
hypothetical protein_59,2624,FtsX-like permease family,-,2483,2706710,+,-,-,ko:K02004,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,FtsX
Putative outer membrane protein,2629,PFAM membrane protein involved in aromatic hydrocarbon degradation,-,1349,2713464,-,-,-,ko:K06076,-,-,-,-,"ko00000,ko02000",1.B.9,-,-,Toluene_X
hypothetical protein_449,2631,-,-,578,2715787,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_448,2633,"Cytochrome C oxidase, cbb3-type, subunit III",-,548,2716959,+,-,-,-,-,-,-,-,-,-,-,-,Cytochrome_CBB3
hypothetical protein_296,2638,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,-,950,2722855,-,-,-,ko:K03796,-,-,-,-,ko00000,-,GH73,-,Glucosaminidase
5-formyltetrahydrofolate cyclo-ligase,2640,Belongs to the 5-formyltetrahydrofolate cyclo-ligase family,-,632,2724296,-,-,6.3.3.2,ko:K01934,"ko00670,ko01100,map00670,map01100",-,R02301,RC00183,"ko00000,ko00001,ko01000",-,-,-,5-FTHF_cyc-lig
hypothetical protein_295,2641,-,-,290,2725284,-,-,-,-,-,-,-,-,-,-,-,-,-
Uroporphyrinogen-III synthase,2642,Uroporphyrinogen III synthase,-,803,2725636,-,-,4.2.1.75,ko:K01719,"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",M00121,R03165,RC01861,"ko00000,ko00001,ko00002,ko01000",-,-,-,HEM4
2-octaprenyl-6-methoxyphenol hydroxylase,2647,"Ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6",-,1253,2729089,+,-,-,ko:K03185,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00117,"R04989,R08773",RC02670,"ko00000,ko00001,ko00002,ko01000",-,-,-,FAD_binding_3
2-octaprenylphenol hydroxylase,2648,"TIGRFAM Ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6",-,1190,2730339,+,-,-,ko:K18800,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00117,"R04987,R08768",RC00046,"ko00000,ko00001,ko00002,ko01000",-,-,-,FAD_binding_3
Putative pre-16S rRNA nuclease,2667,Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA,-,431,2748169,-,-,-,ko:K07447,-,-,-,-,"ko00000,ko01000",-,-,-,RuvX
hypothetical protein_171,2669,TIGRFAM TonB family protein,-,857,2749240,-,-,-,ko:K03832,-,-,-,-,"ko00000,ko02000",2.C.1.1,-,-,TonB_C
hypothetical protein_569,2671,Glutamate-cysteine ligase,-,989,2751151,-,-,6.3.2.2,ko:K01919,"ko00270,ko00480,ko01100,map00270,map00480,map01100",M00118,"R00894,R10993","RC00064,RC00090","ko00000,ko00001,ko00002,ko01000",-,-,-,GshA
hypothetical protein_568,2674,Two component signalling adaptor domain,-,554,2753263,+,-,-,ko:K02659,"ko02020,ko02025,map02020,map02025",-,-,-,"ko00000,ko00001,ko02035,ko02044",-,-,-,CheW
hypothetical protein_137,2677,CheW-like domain,-,473,2761620,+,-,-,ko:K06598,"ko02020,ko02025,map02020,map02025",-,-,-,"ko00000,ko00001,ko02035",-,-,-,CheW
Acyl-homoserine-lactone synthase,2687,Autoinducer synthase,-,620,2775105,+,-,2.3.1.184,ko:K13061,"ko00270,ko01100,ko02020,ko02024,ko02025,map00270,map01100,map02020,map02024,map02025",-,"R08939,R08940","RC00021,RC00039","ko00000,ko00001,ko01000",-,-,-,Autoind_synth
hypothetical protein_138,2688,Diguanylate cyclase,-,2132,2775999,+,-,-,-,-,-,-,-,-,-,-,-,"EAL,GGDEF,PAS,PAS_3,PAS_4,PAS_9"
Phosphoglycolate phosphatase,2690,"HAD-superfamily hydrolase, subfamily IA, variant 3",gph,689,2778999,+,-,3.1.3.18,ko:K01091,"ko00630,ko01100,ko01110,ko01130,map00630,map01100,map01110,map01130",-,R01334,RC00017,"ko00000,ko00001,ko01000",-,-,-,HAD_2
hypothetical protein_139,2696,-,-,506,2785286,+,-,-,-,-,-,-,-,-,-,-,-,-
Thiopurine S-methyltransferase,2698,Belongs to the class I-like SAM-binding methyltransferase superfamily. TPMT family,tpm,659,2787449,+,-,2.1.1.67,ko:K00569,"ko00983,map00983",-,"R08236,R08239,R08246","RC00003,RC00980,RC02277","ko00000,ko00001,ko01000",-,-,-,TPMT
hypothetical protein_493,2700,YfaZ precursor,-,566,2789049,+,-,-,-,-,-,-,-,-,-,-,-,YfaZ
hypothetical protein_140,2703,-,-,1052,2791435,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_141,2708,-,-,506,2796555,-,-,-,-,-,-,-,-,-,-,-,-,-
